"","Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"1","Conserved","GO:0010975","regulation of neuron projection development","403/13543","452/18986",0.891592920353982,1.24992861152187,8.48289687406873,1.63300597934084e-20,1.04512382677813e-16,6.65406962739829e-17,"5530/57142/9693/8036/22876/5997/55605/10505/1948/5911/152559/2043/7337/10611/54664/7779/1020/23011/54986/27067/2146/1716/10498/5584/5756/8321/10300/8724/23064/27020/9139/64175/10494/4193/6498/382/8428/10519/160/5770/10500/1399/55704/8850/25/23369/5906/26037/2717/4133/23129/10013/29904/6722/10938/29116/5062/2185/23345/51199/4067/393/9175/23303/6911/7476/170506/6049/4780/4898/55714/387/162427/115703/5587/9863/2011/6792/9024/81565/57498/2931/157285/6794/83999/5526/84709/2288/23191/2625/2580/51265/2049/1946/1398/1954/950/5663/23327/8408/22902/26012/56965/2896/6376/659/23499/4734/1072/9762/26039/6259/9353/10084/1523/2909/2045/54606/818/22906/5753/5048/112755/8934/57689/10458/23557/65981/153090/23028/3480/4897/349667/7533/57609/54915/23189/4137/3984/8536/64221/23363/51517/118813/5361/84062/9314/9820/3655/6474/2260/3601/5362/8829/673/23258/100528062/6383/5800/5793/5979/29993/6092/163404/57698/23077/1270/57187/2534/79006/5605/53335/84879/57154/4756/9037/26052/547/2895/577/84628/6091/6696/80031/10507/57580/57554/5789/1627/11178/10154/7422/116983/26115/3475/207/5649/23043/7804/23242/411/23566/57520/9912/25793/8851/27/23251/10090/3280/4076/6695/466/238/8482/26230/6616/10152/65078/25987/80725/22854/4919/220202/1608/5780/2042/2889/4776/1601/6405/23105/22871/51761/816/57118/59341/7431/1982/2056/780/8837/27185/5364/120114/386724/29956/2803/5454/5792/2316/65009/29882/4916/6280/23394/952/1942/55811/7474/627/140578/23098/322/5754/999/5365/5058/5176/285016/2242/126520/26259/23271/64284/7074/407002/5604/114788/57465/81545/1756/124925/57463/91584/4038/8507/84816/7143/2048/6585/2258/2335/9860/23654/11141/1496/3066/162979/2670/4058/10371/56920/7473/2932/57611/1600/9798/8499/85442/1809/9423/9856/89780/9638/4192/4915/5458/90167/1855/80258/3706/1123/23072/11075/55754/6014/3675/9706/22891/84446/80128/2672/10677/1141/7025/6387/567/81618/64689/4131/51657/1826/3196/7504/51225/257194/1996/56963/6423/23237/23413/7101/55558/4135/348/85358/5376/25791/114798/51393/1268/652991/6324/23111/8831/653/4920/6900/389658/1136/5063/482/4858/26153/4690/2281/5802/5080/120892/11344/4139/2664/56896/79625/4593/1400/4921/27124/146760/6422/158866/3897/1902/4914/84079/221074/10716/50487/440730/5274/1630/129807",403
"2","Conserved","GO:1903829","positive regulation of protein localization","437/13543","497/18986",0.879275653923541,1.23266097359465,8.29065030182038,2.31995901028e-19,7.42386883289601e-16,4.726611225681e-16,"153241/11235/55835/163882/9695/57142/9585/10059/1894/2181/7443/7855/6717/27230/79752/51574/10580/23171/5108/5295/3843/4771/4739/10576/55072/51496/80279/25921/1020/25874/9747/23086/5599/9662/2037/10694/57707/51768/10574/90550/5584/983/3716/1263/11315/4130/3728/27346/4193/7016/26229/382/27032/5562/10519/8660/27429/9696/51366/23184/2746/2810/1399/55704/22841/324/8938/51068/3320/23255/11261/5715/3717/55204/11190/18/998/10413/57602/10497/4836/10160/84662/5481/5901/11143/83667/6721/10527/7476/5478/2339/85459/5071/10541/7251/22994/142/8398/151636/4628/2010/5587/10972/64083/10979/5170/5106/11079/23208/2931/5116/6794/5581/1432/55696/10307/9531/5208/81603/51112/84876/7037/9475/3265/1398/8554/10857/7297/54434/5663/22902/5319/54471/57506/111240474/9378/4478/1956/26354/5371/51614/64328/54552/79567/5296/55004/10425/118424/351/652/5573/55135/1981/10134/6711/6833/50855/208/8934/94121/3002/125170/65992/6810/283/23435/2737/23236/10155/5950/5583/43/29775/81926/51124/4137/23410/7531/1387/29899/3326/10347/10075/8536/5357/8878/25924/10575/10411/55638/5621/58480/6934/65985/9854/10055/9619/8655/55823/5962/6653/3985/5590/636/7376/5027/2770/3708/2767/8736/785/3799/4947/2641/23379/6514/11069/9777/89866/2035/23607/222546/3688/8431/5468/51160/2534/23400/2147/493/5580/5578/1459/22873/2822/123264/10802/9520/22885/4926/7447/5007/391/10445/2244/55741/5579/7422/2243/654/9971/207/245812/55691/6809/8851/846/288/3767/27113/2621/114/8692/114899/2696/10399/55929/9847/161291/5122/23682/79971/10807/257364/51201/1201/399687/65220/2064/54795/919/6616/5317/51421/29098/7200/51686/6469/5780/2042/3059/1080/5743/84687/2622/7097/57787/5174/4641/58489/1392/1906/2316/3958/25937/9501/952/1131/29850/312/5175/65267/55811/7430/7474/8882/101/322/2150/54984/3552/5347/999/246329/169026/6659/2066/444/1950/29801/7107/10391/164153/2867/9495/79778/8754/975/51100/4038/10178/7305/2048/65018/285966/5213/9860/4035/11156/7332/27063/57628/5880/111089941/9776/2182/4088/3689/55107/55294/27237/10268/2932/7043/8899/9451/80149/129446/3745/80184/89780/55737/1855/1969/3651/94103/3952/6844/2864/7042/85409/55754/2266/3675/6608/6714/56262/79899/7203/114131/7424/4248/9746/11187/4825/1739/640/51548/57214/1540/572/4946/348/8447/2852/8111/3479/6950/3684/54972/63928/7099/3783/135/83666/7494/4804/54550/10369/6622/10551/1025/682/5593/89781/54741/7429/2645/1029/3458/3208/342667/340146/7040/54543/6769",437
"3","Conserved","GO:0007264","small GTPase-mediated signal transduction","430/13543","491/18986",0.875763747454175,1.22773761420401,8.06476872744068,2.4808148367251e-18,5.29240498501354e-15,3.36955587121504e-15,"10928/285282/57142/8615/8301/9693/1122/8452/8036/1894/10395/28512/10971/153020/23092/90627/10144/23380/5911/2665/51735/9908/5908/6478/56990/26269/394/57531/57186/890/23647/3685/8727/23011/4650/2768/57584/5912/7126/3988/6453/57568/117178/121268/1452/5899/5894/11315/6386/3845/84253/27342/50937/5291/84078/286205/221178/253959/9101/93663/6009/388/382/51571/4925/10044/6093/9771/10787/80230/55843/10163/9928/10769/392/1399/8729/55704/25/6655/5906/26037/10982/11261/94134/998/57679/10160/121512/393/84144/57706/55114/2339/154796/9855/10260/50650/10617/5879/57569/387/10253/55845/9927/115703/2059/57493/440107/9826/157285/10672/4233/9138/8567/10276/5877/4924/10565/58504/28988/23191/9649/201475/867/55667/9743/1017/6654/9475/50848/3265/406991/1398/185/10211/7204/83478/79109/10435/9922/23433/4893/9411/6237/128272/1121/5922/1026/57148/23362/1072/55103/23075/23268/23263/23094/9909/389/57480/8997/89941/9353/79567/2909/6494/10188/395/23550/9267/23580/9265/29127/5516/19/30851/9844/153090/5900/116985/5337/10564/8412/65979/23189/64759/3984/9367/85004/397/83892/8878/10411/390/58480/55200/5962/10252/80728/9732/221472/8829/7454/79658/28511/5924/11069/152273/56882/11021/55715/57698/23607/5662/3688/55619/6242/22808/64283/604/9710/50619/6016/7052/23365/25780/8473/11214/9448/6091/9289/22800/54453/9639/391/8844/26053/64787/10507/27289/57580/3925/57826/5294/54509/9938/5649/54922/9912/27/27352/128239/1124/23348/10125/1796/10602/4653/55288/9901/11188/79574/84952/5863/80005/23682/201163/8216/26230/2064/7410/26030/2203/22821/9815/84249/10152/65078/202243/613/9750/2247/10251/2889/23179/51495/117/257106/51291/23108/137735/10451/2056/4853/81704/9181/5364/9620/50649/1278/143872/10045/7249/1435/85440/117289/27314/11337/57636/2150/22898/11135/440193/29/28964/9754/57449/201176/1793/7074/27128/220164/25894/55160/57221/57514/51196/4038/51306/408/376267/139818/5909/2048/2305/55701/10235/23616/150/5880/29984/396/51195/50861/10603/89846/57381/5881/9828/2149/343578/1600/221002/85442/4983/9423/283455/4851/90167/1123/9363/1718/115727/7042/116442/8874/2782/6014/3675/79822/9170/6714/7010/84986/80243/3707/55816/7409/54869/23096/10287/255426/64121/51209/5741/23526/23370/23221/9886/5923/348/25791/84033/10146/2885/57139/3479/64926/4763/25959/8831/199731/2245/8437/79930/9077/23229/120892/57572/4254/84812/2664/152015/9290/4804/83452/148170/9046/8936/1902/4914/171177/440730/399/115557/1029/8315/9266/9402/85360",430
"4","Conserved","GO:0031329","regulation of cellular catabolic process","411/13543","472/18986",0.870762711864407,1.22072663718952,7.65983102437262,1.33179420814561e-16,2.13087073303297e-13,1.35667773150833e-13,"9559/3953/472/10059/256471/64798/7855/154/26137/1915/340485/493856/26262/10434/9517/23256/203228/55072/57103/27131/60412/55763/55128/80279/23012/6774/1020/55054/3667/5599/29919/2072/23367/405/4218/55062/27244/5899/1263/11315/10868/5291/112574/9812/5289/10670/6009/598/3315/57533/5562/6093/8660/9110/27429/2308/7957/219743/6737/5770/523/10769/6885/23032/9821/8850/9474/25/9682/4864/5261/84148/22933/4534/23130/23255/10558/10013/10325/55486/291/29116/526/57602/5305/60673/3146/55254/83667/6721/5127/55255/10241/8723/23274/27102/55332/85363/5071/257397/4898/152503/55847/93974/1457/10043/151636/58533/10193/2475/7942/5587/2773/66036/5049/51375/2931/5660/6794/10269/79156/254013/25782/4233/5987/65125/9531/81603/3607/23411/23417/2081/23118/220441/7416/9550/406991/140775/11180/950/83737/5663/8408/56834/10098/9554/10645/22954/6720/8897/112936/22863/10641/25989/8396/8992/4734/6625/83752/53840/8671/9637/7319/7428/221937/1613/5296/10475/528/90427/351/1981/23545/51606/208/2021/5768/8898/219931/3643/23770/10392/65992/79837/340371/51099/221955/60592/51429/30849/32/3587/596/25853/4137/6829/949/2629/8925/2309/4170/56893/5774/10075/9681/8878/4943/5595/6653/3949/90423/8975/5027/3708/92140/2626/3428/11040/3064/55626/207063/51085/80317/664/826/9711/11152/9817/58528/22930/5465/255738/23400/84879/57104/64223/10456/23530/535/493/8647/57761/254122/5580/53373/1459/79142/79443/2822/155066/29110/64127/302/29978/55187/149371/140710/148/10524/3356/7345/1374/345611/5294/11178/8767/665/207/54922/26191/26471/7078/25793/8851/148022/195827/27/23677/9114/201163/257364/84749/1201/205251/79594/219771/225/2819/7248/23265/128338/406884/117854/57535/8131/1982/11067/29979/3162/23604/51322/9100/10133/13/57521/23555/7249/55613/55811/101/10346/10273/9140/3082/11011/201292/5988/7805/285180/1612/3240/7107/57817/131540/8754/7405/51100/5045/23352/65018/64112/1411/341/150/9860/7133/10919/401548/2670/9776/7077/7076/116519/55294/339221/84219/2932/27074/10739/706/80149/20/171389/3456/387104/9638/534/55737/3099/245973/94103/8140/3791/3952/29072/116442/26086/114881/9706/525/84861/6714/54832/25827/26291/340061/10206/56963/29763/90678/64121/440503/3586/54106/572/5255/348/1268/22926/225689/3479/11043/258010/342931/25851/527/11140/3834/26330/120892/7494/245972/1917/128866/215/6622/2017/823/3458/340146/54543",411
"5","Conserved","GO:0016049","cell growth","424/13543","490/18986",0.86530612244898,1.21307701696938,7.53770805365981,4.95958100050901e-16,6.34826368065154e-13,4.04179748483587e-13,"100533105/25879/55840/57142/79577/9166/5997/10038/8826/10505/734/3300/51320/23678/6868/9792/6595/10668/2661/10611/29104/84259/203228/2137/4682/1020/23011/2131/51147/7414/6386/84717/214/6416/817/55602/6446/27346/57669/84162/9344/10519/7528/7957/102/7046/84678/9928/10500/51094/84722/2810/1399/2395/5245/80208/25/23369/4133/7048/10013/253260/136319/1785/1027/6722/998/10413/56981/51447/2185/440275/51199/393/9175/11143/83667/91/6049/54879/84275/51193/5071/4089/7251/23122/3621/112398/28956/1457/51379/9043/22999/1031/2475/1032/6197/9538/8725/6792/81565/84289/7003/56848/9826/2931/6794/29946/8239/10276/6597/51324/23191/5931/51265/65059/4204/1946/55364/57805/1398/2100/185/51616/1954/64061/79109/83737/23327/8408/22902/22954/23404/55210/1026/659/54617/23499/1956/26999/3275/6259/5371/1499/2539/9686/9353/221927/55004/51009/10425/2045/6494/351/84298/1981/25942/5048/65981/340152/4323/57446/10298/4897/79960/1839/57609/11007/23767/596/116224/4137/3984/85004/50618/54512/6832/3676/29948/4211/55031/150465/5590/118813/81501/5361/6548/10201/1654/5795/4633/2626/8425/1154/8829/27086/8751/81628/57698/23607/64769/10479/54437/3688/5393/10459/9564/5465/53335/84879/57154/3304/64223/9037/3021/7852/2147/604/3303/6696/728642/4487/51760/203245/26053/80031/10507/148/81621/7422/3475/5645/207/8470/56994/55909/23242/23566/1907/131566/23251/8692/6695/10399/23677/10591/552/183/8482/8828/3249/5167/79594/8085/3084/4092/2064/55615/2203/11170/8643/2658/65078/694/5916/978/3020/1601/6405/23105/23338/27302/9767/84687/9962/144165/984/1982/84260/123904/780/22883/114804/27185/1906/2803/1909/57521/29882/9472/6280/23394/952/9576/634/55811/7474/627/54825/27296/23769/6195/999/8835/551/94/7074/672/3371/4882/5592/3487/2697/91584/10110/10718/3486/7143/60676/6585/2258/2335/10235/6860/9699/9201/6586/3624/7373/123879/57699/4009/7490/2182/4088/151835/10371/51299/56920/407010/9211/2273/7473/5538/5270/2932/57611/3484/9798/66000/9423/9856/89780/5458/440093/221481/1855/7042/283106/127833/9706/6285/3913/3488/84861/80128/6387/2016/5999/4131/1826/9746/4825/56963/6423/23025/55558/9355/10439/348/6857/114798/51393/2487/3479/6098/23111/256130/5607/8877/2023/8437/221476/26153/347252/80736/5802/2786/343472/11344/7494/2664/4881/58191/6456/6422/11054/2017/8936/3897/221074/10071/56924/54413/623/4879/1630/1594/1029/3490/344901/4692/7040/57144",424
"6","Conserved","GO:0007409","axonogenesis","399/13543","459/18986",0.869281045751634,1.21864948199369,7.47990044541198,7.01385365597356e-16,7.48144389970513e-13,4.76326798285503e-13,"57142/8301/10939/55605/10505/334/1948/6868/2043/203228/1020/23011/2131/6683/4218/7414/2115/214/1959/5797/4130/22911/23390/10890/123016/8543/10494/6498/9344/57731/8650/4781/10500/23032/80208/25/26037/4929/84612/2717/4133/23129/10013/1785/6722/1605/5062/51199/393/9175/23303/7476/79600/6049/6477/9369/4089/4898/11280/200933/23122/5879/1947/2011/6792/9024/81565/10512/6794/8239/51324/10678/23191/2625/51265/2049/3996/65059/1946/6654/1954/10211/7204/5663/8408/22902/26128/9378/6812/659/23499/26999/4884/9637/6259/5747/8997/9353/2909/2045/351/7155/22906/60/1889/25942/5048/56978/57689/10458/4753/5306/10509/3480/2737/4897/51466/57609/54915/23767/596/7976/1267/4137/3984/64221/3676/729920/150465/56288/118813/9331/5361/6474/5795/5362/8829/673/3799/5800/5979/323/6092/57698/23607/22865/10479/54437/3688/23077/151449/2534/79006/5605/53335/57154/4756/84665/7408/9037/4147/64283/3908/5727/5803/2263/84628/6091/6696/2596/56956/26053/80031/10507/7345/3925/107/57549/10154/7422/3800/71/1749/9253/3475/5649/23242/23566/1907/8851/57715/288/10090/494470/23022/23114/2636/9334/5781/285220/5818/8482/8828/2047/26230/2064/219699/104/2051/152330/9723/6616/65078/25987/22854/220202/54910/6469/256158/2042/11313/6405/23105/51761/64919/144165/1982/4853/27185/5364/1906/2803/5454/1909/29882/23394/1942/55740/1385/85440/55811/7474/627/140578/113246/322/5754/999/5365/5058/26257/6905/1436/3798/7074/5604/658/25894/4882/51062/5592/333/57463/91584/4038/133418/644168/89884/7143/2048/4854/223117/6585/55701/2258/2335/575/23654/9201/6586/1496/4009/1009/10371/56920/9211/1951/2736/7473/64218/5881/2932/57611/10501/27023/1600/2668/8609/9798/4983/9423/10381/90249/4851/9856/10752/89780/9638/4915/5458/1855/1123/59277/9706/91653/6608/9241/84446/1944/6285/3913/8633/80128/56134/9252/27255/389549/1141/64843/6387/4131/1826/4825/7504/56963/139065/2253/59352/84189/55201/7477/7101/57216/55558/4684/4135/9355/10439/9890/6277/348/114798/51393/6324/170302/1813/53942/3730/23111/85449/25806/1945/91137/2297/8831/23768/6900/5457/5063/4693/4858/5802/885/23334/5080/5076/57453/343472/11344/2664/8022/56896/91624/4804/5015/9048/2017/3897/4914/57556/10716/7869/2637/54413/7080/115557/57408/1630/4692",399
"7","Conserved","GO:0051223","regulation of protein transport","388/13543","446/18986",0.869955156950673,1.2195945218833,7.40248675586961,1.34239291022177e-15,1.22733066077419e-12,7.81413978265938e-13,"56943/11235/5530/163882/9695/9585/10059/1894/2181/285381/6717/27230/79752/64215/51465/26297/9818/5108/5295/10434/3843/5910/23256/1595/51496/3312/5905/1020/58515/25874/29934/3667/23086/51768/4218/9648/90550/10956/983/3638/1263/11315/8724/80223/80762/3728/64175/7514/27346/4193/26229/382/27032/8660/2308/7957/51366/5770/2746/2810/7295/8938/131474/3320/11261/5715/3717/55204/18/998/10497/51684/5481/5901/5127/80024/5478/5071/10541/7251/22994/8398/4628/2010/5587/10972/64083/9024/81565/5106/5116/7260/5978/5581/406/1432/55696/10307/9531/5208/26130/127933/84876/100381270/1946/91461/10857/5663/22902/5319/6720/2781/23409/57506/111240474/51092/1956/23657/7341/3592/51614/64328/79567/5296/79651/130399/51009/580/351/652/5573/10134/6833/50855/8934/4544/94121/51715/6810/283/23435/2737/9575/23236/10155/5950/9066/6558/406940/43/51124/84522/23410/7531/26056/84300/8536/25924/10411/55638/91319/6934/65985/9854/9619/8655/6653/5590/7376/5027/3708/10961/2767/9572/8736/4947/11142/6672/2641/23379/6514/7351/11069/9777/89866/406938/23607/222546/8431/5468/6804/51160/80157/1814/23400/29969/4756/10062/152/2147/2775/5580/5578/415116/9607/2822/123264/10802/8864/7447/5007/10023/1445/2244/55741/5579/91543/1374/5569/2243/654/9971/55691/10312/9647/9912/846/3767/2621/114/3156/8692/5991/114899/2696/10399/55929/5781/161291/2029/5122/79971/133308/51201/1201/6288/399687/65220/54795/6616/4041/7200/11060/51686/6469/3059/2693/1080/5743/7097/4345/3170/1392/3936/9727/3301/5784/2316/9501/952/1131/29850/312/3625/8882/101/54602/5211/322/2150/3552/999/79628/169026/6659/1113/444/4760/56850/7074/3033/240/9463/284/9478/2867/9495/111/8754/948/975/7021/10178/84830/55432/6860/5213/150/7327/27063/79751/111089941/55612/2182/4088/55107/4843/2932/7043/8899/2149/353500/8609/80149/3569/3745/80184/55737/3651/2778/51547/10815/3952/6844/2864/7042/55754/8622/2266/6608/6714/56262/79899/114131/7424/64285/6566/4825/640/51548/23176/572/337867/27236/4946/3429/348/8447/2852/8111/1268/91942/3479/1813/4763/258010/54972/63928/7099/3783/135/252983/2281/131177/90007/7494/6422/3741/682/7369/2645/1029/3458/6755/4988/340146/768218/7040",388
"8","Conserved","GO:0051056","regulation of small GTPase mediated signal transduction","270/13543","300/18986",0.9,1.26171453887617,7.20732120275644,2.02421370605129e-15,1.61937096484103e-12,1.0310172705427e-12,"10928/285282/57142/8301/8452/8036/1894/10395/23092/90627/10144/23380/56990/26269/394/57186/3685/4650/57584/7126/6453/57568/117178/1452/5894/3845/84253/27342/50937/5291/84078/286205/221178/253959/93663/382/51571/55843/9928/392/1399/8729/25/6655/26037/10982/94134/57679/121512/393/84144/57706/55114/2339/154796/10260/50650/10617/5879/57569/10253/9927/2059/57493/9826/157285/10672/4233/9138/8567/10276/10565/58504/9649/867/55667/9743/6654/50848/406991/1398/10211/7204/83478/79109/9922/9411/128272/5922/57148/23362/23075/23268/23263/23094/9909/57480/8997/9353/79567/2909/6494/395/23550/9267/9265/29127/5516/19/153090/116985/10564/23189/64759/397/83892/8878/58480/55200/5962/10252/80728/221472/8829/79658/5924/152273/56882/23607/5662/3688/55619/64283/604/50619/7052/23365/8473/11214/9448/6091/9289/9639/26053/64787/10507/57580/3925/5294/54509/9938/5649/54922/9912/27/27352/1124/23348/10125/4653/9901/79574/84952/5863/201163/8216/26230/2064/7410/26030/2203/22821/9815/84249/65078/202243/613/9750/10251/117/257106/51291/23108/137735/10451/2056/4853/81704/9181/5364/50649/143872/7249/1435/85440/117289/11337/57636/2150/22898/29/28964/9754/57449/201176/7074/27128/25894/55160/57221/57514/4038/51306/408/139818/5909/2048/2305/55701/23616/29984/396/50861/10603/89846/9828/2149/343578/221002/4983/4851/90167/1123/7042/6014/3675/79822/9170/6714/7010/84986/80243/3707/7409/54869/23096/23526/23370/5923/348/25791/84033/3479/64926/4763/25959/8831/199731/2245/8437/23229/57572/4254/9290/1902/4914/440730/115557/9266/85360",270
"9","Conserved","GO:0010506","regulation of autophagy","328/13543","373/18986",0.879356568364611,1.23277440795765,7.1618468667533,7.34486538988871e-15,5.22301538836531e-12,3.32537706716482e-12,"9559/3953/472/10059/256471/64798/7855/154/1915/340485/493856/10434/9517/23256/203228/55072/57103/27131/60412/55763/55128/80279/23012/6774/1020/55054/5599/29919/2072/23367/4218/55062/27244/5899/1263/11315/10868/5291/112574/9812/5289/10670/6009/598/3315/57533/5562/6093/9110/27429/2308/7957/6737/523/10769/6885/23032/9821/9474/25/9682/4864/84148/22933/4534/23130/23255/10558/10013/10325/55486/291/526/57602/5305/60673/3146/55254/83667/6721/5127/55255/10241/8723/23274/27102/55332/85363/5071/257397/55847/93974/1457/10043/58533/10193/2475/7942/5587/2773/66036/5049/51375/2931/5660/6794/10269/79156/25782/4233/5987/65125/9531/81603/3607/23411/2081/23118/220441/7416/9550/140775/11180/8408/56834/9554/10645/22954/6720/8897/112936/22863/10641/25989/8396/8992/4734/6625/53840/9637/7319/7428/221937/1613/5296/10475/528/90427/1981/23545/51606/2021/5768/219931/23770/10392/65992/79837/340371/60592/30849/3587/596/25853/4137/6829/2629/8925/2309/4170/56893/10075/9681/8878/4943/5595/90423/8975/3708/92140/2626/3428/11040/3064/55626/207063/80317/664/826/9711/11152/9817/58528/22930/23400/64223/10456/535/57761/254122/53373/1459/79142/79443/155066/29110/64127/29978/55187/149371/140710/148/10524/7345/345611/11178/8767/665/207/54922/26191/26471/25793/8851/148022/27/23677/9114/201163/84749/1201/79594/219771/7248/23265/128338/406884/117854/57535/8131/1982/11067/29979/3162/23604/51322/9100/10133/57521/7249/55613/55811/10346/10273/9140/3082/11011/201292/5988/285180/1612/7107/131540/7405/51100/23352/65018/64112/1411/10919/401548/2670/9776/55294/84219/2932/27074/10739/706/80149/171389/3456/387104/9638/534/55737/3099/245973/94103/8140/3791/3952/29072/116442/26086/114881/9706/525/84861/54832/25827/340061/10206/90678/64121/3586/54106/572/22926/225689/11043/258010/342931/25851/527/11140/3834/120892/7494/245972/1917/128866/6622/2017/823/3458/340146/54543",328
"10","Conserved","GO:0001558","regulation of cell growth","355/13543","408/18986",0.870098039215686,1.2197948292512,7.07932167211789,2.09341670473645e-14,1.33978669103133e-11,8.53012217266821e-12,"100533105/55840/57142/79577/9166/5997/10038/10505/734/3300/23678/6868/9792/6595/10668/2661/29104/84259/2137/4682/1020/23011/51147/6386/84717/817/55602/6446/27346/84162/9344/10519/7528/7957/102/7046/84678/9928/10500/51094/84722/2810/1399/2395/5245/25/23369/4133/10013/253260/136319/1785/1027/6722/998/10413/56981/51447/2185/393/9175/11143/83667/91/6049/54879/84275/51193/5071/4089/7251/23122/3621/112398/28956/1457/51379/9043/22999/1031/2475/1032/6197/9538/8725/6792/84289/7003/56848/9826/2931/6794/29946/10276/6597/23191/5931/51265/4204/1946/57805/1398/2100/185/51616/1954/64061/79109/83737/23327/8408/22902/22954/23404/55210/1026/659/54617/23499/1956/6259/5371/2539/9686/9353/221927/55004/51009/2045/6494/1981/25942/5048/65981/340152/4323/57446/10298/4897/79960/1839/57609/11007/596/116224/4137/3984/85004/50618/54512/6832/29948/55031/150465/118813/81501/6548/10201/1654/5795/4633/8425/1154/8829/27086/8751/57698/64769/5393/10459/9564/5465/53335/84879/57154/3304/64223/9037/3021/7852/2147/604/3303/6696/728642/4487/51760/203245/80031/10507/81621/7422/3475/5645/207/56994/23566/131566/23251/8692/6695/10399/23677/10591/552/183/8482/3249/5167/79594/3084/4092/2064/55615/2203/11170/8643/2658/65078/694/978/3020/1601/6405/23105/23338/27302/9767/84687/9962/984/1982/84260/780/22883/114804/27185/1906/2803/57521/29882/9472/6280/23394/952/634/55811/7474/627/54825/27296/6195/999/8835/551/94/672/3371/3487/2697/91584/10110/10718/3486/7143/60676/6585/2258/2335/10235/6860/9699/6586/3624/7373/123879/57699/4009/7490/2182/4088/151835/10371/56920/9211/2273/7473/5538/5270/2932/57611/3484/9798/9423/9856/89780/5458/440093/221481/7042/283106/127833/9706/3488/84861/80128/6387/5999/4131/1826/9746/4825/56963/6423/23025/55558/10439/348/6857/51393/2487/3479/6098/23111/256130/5607/8877/2023/8437/221476/26153/347252/80736/5802/2786/343472/11344/7494/2664/4881/58191/6422/11054/2017/3897/10071/623/4879/1630/1594/1029/3490/344901/7040/57144",355
