"","Cluster","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"1","Conserved","Organismal Systems","Development and regeneration","hsa04360","Axon guidance","172/6390","184/8546",0.934782608695652,1.25018030890658,5.90594011057977,2.39323647094282e-11,8.32846291888103e-09,4.71089705332956e-09,"5530/84448/10505/23380/1948/5295/2043/1020/5894/3845/5291/2771/817/6093/10500/25/57522/84612/5062/998/8503/1808/5879/1947/387/10627/2773/5170/4775/10512/4233/4636/2049/1946/5533/9475/5336/3265/54434/4893/6237/659/1072/1073/6259/5594/5747/9353/5296/2045/5921/103910/818/50855/57689/10509/10298/125467750/7976/3984/64221/5595/3985/5590/56288/2770/5361/7220/5362/8829/54961/5998/3983/85464/8440/6092/54437/3688/151449/2534/4756/9037/7852/5578/5727/23365/84628/6091/22885/80031/5293/10507/27289/10154/57715/7225/9901/5781/84552/285220/8482/2047/219699/2051/4773/9723/22854/54910/6469/2042/4776/6405/816/5364/81029/815/1942/55740/7474/3611/5365/5058/2242/658/91584/2048/223117/6585/106821730/9860/23654/6586/5335/5880/29984/2050/10371/56920/64101/64218/2041/5881/2932/10501/9423/90249/1969/59277/91653/6608/1944/5535/110117499/8633/6714/6387/56963/10398/55558/7223/5534/25791/1945/5063/4690/56896/3897/57556/7869/56924/1630/57144",172
"2","Conserved","Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","263/6390","300/8546",0.876666666666667,1.17245592070944,5.23478869105332,1.54367904236978e-08,2.3387236201448e-06,1.32287149717809e-06,"5530/51135/6196/9693/1647/11221/5908/5495/3556/3312/1847/5599/2768/3725/51347/5894/3845/6788/6416/8649/3315/9344/4215/80824/5567/7046/6885/1399/5606/9020/6655/4149/5906/7048/6722/5062/1616/998/84451/4217/3164/9175/93589/5879/51295/1849/8569/5971/6197/4775/2005/4233/1432/4214/2002/23118/1946/6654/5533/3265/1398/1848/3554/4893/6237/5156/5922/10454/1956/23162/2353/2872/5594/5921/4791/2264/7786/2122/1326/5602/208/3643/2254/3480/374/9261/125467750/468/4137/1843/5159/5154/5595/7132/409/2260/994/5582/5608/673/785/369/355/1845/56034/5979/1850/5924/2246/5605/22808/3304/5609/4790/5578/783/9965/4296/25780/2263/51776/9448/5871/3303/4616/1147/22800/784/10000/1844/5579/3925/7422/781/4294/3310/2248/207/4208/7867/11184/1846/10125/27006/2261/779/3551/80310/3727/776/8491/26281/356/2064/55799/123745/7039/4902/2247/2065/4609/5568/4293/8817/9479/2316/8986/1435/1942/8913/929/627/9064/10912/3082/5536/7186/3552/6195/5058/2066/1436/1950/5604/284/5801/408/55970/27330/8605/10235/5603/2323/5880/23542/283748/777/5881/7043/8717/2668/57551/4772/2321/5228/4915/1969/3791/115727/7042/5321/2277/9254/7189/6789/1944/5535/3815/7010/9252/7424/2252/26291/59285/2069/8912/773/3481/775/2253/4615/5923/5534/84867/2885/3479/4763/1945/5607/51378/2322/3654/7423/4254/27091/5600/778/4804/10369/1852/4908/2324/9048/10746/4914/1386/786/4216/5598/5778/2251/7040/51701",263
"3","Conserved","Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","183/6390","203/8546",0.901477832512315,1.20563842827077,5.1047356544505,2.01614105184896e-08,2.3387236201448e-06,1.32287149717809e-06,"5295/5908/394/329/3685/5599/4660/340156/1729/7414/3725/5894/5291/6093/1399/330/5499/6655/5906/54776/5062/998/8503/5879/387/10627/5170/4233/896/4636/2002/6654/9475/3265/1398/5501/5156/824/1956/858/5829/5594/5747/1499/2909/5296/91807/103910/81/23396/60/5602/208/3480/10298/2012/596/857/3676/5159/5154/5595/331/3655/2013/4638/4633/5582/673/56034/1284/22798/3672/3688/9564/2534/87/3680/1286/7408/3910/5578/3908/399694/6696/2317/10000/5293/55742/5579/7422/71/207/5649/3695/8395/7057/8394/3693/3915/80310/2064/7410/3912/1299/53358/2889/10451/83660/1278/2316/3678/7450/3082/3611/7448/5058/3694/3909/1950/1793/5604/3371/1282/7143/2335/1297/106821730/6464/5880/7148/595/3690/93408/5881/2932/4659/2321/5228/3914/64098/1298/3791/2277/3691/3675/25759/3913/7094/110117499/6714/1285/85366/3911/7424/29780/894/7409/3918/284217/10398/3673/572/10319/5923/2885/3674/3479/7059/5063/131873/7423/22801/8516/1291/2324/1293/56924/8515/1311/1292/1280/57144",183
"4","Conserved","Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","155/6390","170/8546",0.911764705882353,1.21939611525361,4.97413014536471,3.59565134795511e-08,3.12821667272095e-06,1.76943895280949e-06,"1647/7855/1871/4259/86/6595/5295/8321/1452/7012/5894/3845/196528/57492/5291/119391/6603/598/8325/7046/1643/324/6655/7048/4087/2549/8110/8503/7476/4780/4089/2475/1869/4233/6599/6597/2002/8324/8312/6654/5336/3265/1019/7296/4893/1026/4257/1956/5594/1499/5296/6932/83439/60/1021/208/4258/3480/29117/7482/7976/6199/6934/578/6598/6601/5595/4040/5582/1857/673/369/2939/2940/9817/5605/5578/6602/399694/8289/4616/114112/10023/10000/5293/5579/2946/7479/71/207/2948/8313/7475/2944/7039/2947/4041/2938/221357/53358/7481/4609/6604/3162/81029/1870/7474/10912/80326/3082/8326/5604/581/6464/5335/2950/10297/9446/595/4088/7473/2932/7043/55193/89780/7483/1855/51426/7042/6605/25759/1856/110117499/55274/7478/10587/653689/7472/3481/1728/7484/572/7477/51412/2941/2885/7471/2949/2535/51384/8193/51176/122011/1029/7040",155
"5","Conserved","Environmental Information Processing","Signal transduction","hsa04012","ErbB signaling pathway","83/6390","86/8546",0.965116279069767,1.29074862612367,4.66513052896901,5.43926167204992e-08,3.28441035504649e-06,1.85778807136628e-06,"868/5295/5599/3725/5894/3845/5291/6416/817/1399/25/6655/2549/1027/5062/8503/2475/2002/867/6654/5336/3265/1398/4893/1026/1956/5594/5747/5296/818/5602/208/10298/374/1839/6199/5595/5582/673/369/1978/8440/5605/6776/5609/5578/399694/6777/10000/5293/9542/5579/207/685/27/3084/2064/7039/53358/2065/4609/816/815/5058/2066/1950/5604/10718/106821730/6464/5335/2932/25759/110117499/6714/2069/572/2885/5063/4690/145957/56924/57144",83
"6","Conserved","Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","206/6390","232/8546",0.887931034482759,1.18752091090605,4.98506437172766,5.66277647421808e-08,3.28441035504649e-06,1.85778807136628e-06,"81624/8826/5295/200576/10096/10097/3685/2768/4660/340156/1729/7414/4627/5894/3845/5291/221178/51571/6093/10787/10092/10163/1399/5499/324/6655/54776/5062/998/5305/8503/5879/4628/387/10627/55845/10094/10672/9138/4636/23191/6654/9475/3265/1398/54434/5501/4893/6237/5156/4478/8396/1956/1072/26999/1073/5829/5594/5747/2909/5296/91807/103910/81/81873/23396/2264/60/208/10458/10109/79837/2254/10298/3071/3984/3676/5159/5154/5962/5595/3985/6548/81553/3655/2260/4638/10788/4633/10095/673/369/375189/56034/54961/57180/85464/3672/1132/2246/3688/9564/2934/87/5605/22808/3680/7852/2147/3645/9965/23365/2263/1730/729/22800/10000/5293/71/79784/2248/207/3695/8395/128239/8394/3693/27006/28984/2261/730/80310/26281/7410/731/10152/7114/2247/3683/10451/8817/50649/1131/55740/3678/5217/7430/5058/3694/9459/28964/1950/1793/7074/5604/3682/55970/8976/2335/106821730/5880/10297/735/3690/653857/3689/89846/93408/5881/732/2149/727/4659/8874/3691/3675/9170/3681/110117499/6714/85366/85477/2252/6387/26291/7409/2253/10398/3673/3687/3674/3684/10552/2245/57121/5063/4629/22801/8516/8936/1902/56924/8515/623/2251/57144",206
"7","Conserved","Genetic Information Processing","Folding, sorting and degradation","hsa04120","Ubiquitin mediated proteolysis","130/6390","142/8546",0.915492957746479,1.22438228746501,4.64164375919215,2.52893947673759e-07,1.25724419700669e-05,7.11145386691622e-06,"6502/8452/7334/868/51465/7337/329/1161/57448/8916/26272/29945/7322/8945/23295/378884/4193/51366/10277/246184/26091/1643/330/10477/8065/9690/55070/23291/51433/10393/25906/9978/10401/3093/6477/5071/55958/996/4214/51343/7321/8453/8697/7326/7316/27338/867/7328/8554/83737/25847/23327/22954/8450/7311/4734/55585/7317/5371/7319/9039/119504/7428/118424/51619/11065/8454/23759/8651/23624/6500/1642/55120/6923/8881/8925/10075/54926/10055/84447/331/9820/9817/57154/64750/7314/51434/64682/7329/51588/10054/9246/11060/22888/29882/9354/134111/9021/26232/10273/26259/672/7332/7327/4591/997/8924/55294/4281/7318/7189/9320/90293/63893/140739/65264/27339/389898/92912/64326/23221/9886/55236/89910/25898/7324/148581/7325/6233/79444",130
"8","Conserved","Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","180/6390","204/8546",0.88235294117647,1.18006075669704,4.48106399517225,1.11957325413979e-06,4.8701436555081e-05,2.75473945426502e-05,"7855/8826/5295/3709/29102/6774/3685/4660/8321/5894/3845/84309/6194/5291/817/1975/4193/8325/6093/5567/5499/6655/4087/54776/2549/998/10818/8503/7476/5879/387/2475/27250/5170/1514/4233/9138/1432/2002/8324/867/6654/9475/5336/3265/406991/5501/4893/6237/1026/4478/1956/858/5829/5594/1655/5747/1499/5296/5329/818/60/208/3480/1839/7482/287/7976/857/7023/6199/5962/5595/6548/3708/2260/5582/673/369/6383/355/5777/3688/5605/22808/6382/5578/5727/23365/22800/10000/5293/2099/5579/7422/7479/71/207/7078/7057/288/3693/7475/5781/3339/2817/356/2064/7410/960/2247/6469/2065/7481/3059/10855/4609/5568/816/7097/10451/2719/81029/1278/2316/815/3678/388112/7430/7474/80326/3082/7448/8326/5058/2066/7074/5604/51196/2335/5603/5335/595/3690/286/7473/4659/89780/7483/3791/7042/6608/110117499/6714/7478/4313/60495/7409/7472/3481/7484/3673/7477/4318/6385/2885/5328/3479/79923/3710/7099/7471/2535/51384/4060/5600/967/2017/117581/7040",180
"9","Conserved","Metabolism","Nucleotide metabolism","hsa00230","Purine metabolism","117/6390","128/8546",0.9140625,1.22246919014085,4.36568586176204,1.27939875514104e-06,4.90382913892848e-05,2.77379325160201e-05,"159/131870/9061/8833/29922/10606/2987/4860/2272/132/2618/471/5169/1716/122481/6240/9583/5631/221264/318/204/102157402/1633/22875/2983/50808/56985/5147/4830/50940/55276/6241/4831/5140/5151/374659/22978/353/3615/3251/3614/144811/9615/4907/53343/27115/51020/284958/10201/8654/11164/5143/10846/5144/5142/158/115/55821/84284/955/5153/107/271/646625/26289/5198/2986/114/2984/5634/9060/122622/5141/2766/5167/377841/196883/7498/124583/108/30833/55811/113/5236/5138/3000/4882/111/56953/954/953/272/158067/109/5136/2977/100/205/5152/51816/58497/5150/8622/5137/2982/203/5139/4832/3704/50484/4881/5145/5158/93034/84618/5471/956",117
"10","Conserved","Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","141/6390","157/8546",0.898089171974522,1.20110642624323,4.37827223400785,1.55006093471877e-06,4.90382913892848e-05,2.77379325160201e-05,"10396/6868/5869/1847/3685/3988/405/5087/384/5467/5878/817/6446/57617/80824/102/1399/5734/51552/7879/488/3717/27072/5879/961/8398/5627/1849/56848/4775/1432/23411/811/1398/23659/840/23355/54896/6376/23250/10461/5594/5747/24145/818/19/9844/286410/196527/9261/55113/286046/64601/55823/5595/7376/29933/9392/834/203859/1850/5777/5468/2057/9564/5605/10062/1051/9023/6513/1844/1374/5732/7057/2621/3693/1846/1901/5781/161291/100133941/1788/65082/6256/389668/63982/4773/383/4776/1524/5743/51761/816/2056/5031/121601/89790/815/1385/5175/1793/64284/5604/240/84466/8754/948/140885/575/5603/4035/26762/489/51454/3690/4240/4772/1375/712/55754/338382/84465/126129/114786/64805/714/343702/558/6566/3586/55576/713/8877/23166/23200/7301/50636/5600/682/246/7040",141
