"","Cluster","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"1","Conserved","Cellular Processes","Cell growth and death","mmu04110","Cell cycle","142/5719","157/9577",0.904458598726115,1.51460045462493,7.9152665715407,4.51539667154739e-18,1.55781185168385e-15,5.94131140993078e-16,"12428/52206/56438/12580/17218/21809/26965/17128/22390/12237/12581/27214/12571/56150/11350/19645/17127/268697/17120/13559/12447/27401/13197/76464/12530/67052/20877/218294/71521/13006/19053/18393/17869/20842/66440/17126/26931/12579/21770/22629/320209/13555/17222/22630/22628/218914/225849/17873/69957/19651/15182/71890/71175/12427/12545/226849/12534/55948/72415/12576/22627/26932/59008/23882/100710/105837/26428/12914/17217/22631/67141/104394/54401/242705/211586/26429/77805/52563/12448/229776/73699/12445/52717/328572/56637/71988/30939/12566/268930/19052/12577/56371/12649/21808/12236/17246/21402/12531/11920/66591/67177/51792/17220/22059/18817/68999/12567/66671/105988/12572/69010/12443/56317/20843/22137/245000/13557/12575/433759/77011/12544/19650/99152/12444/21781/17216/19357/17219/18538/75430/56452/21803/23834/70315/22642/18392/12532/67849/24061/107995/22589/12442",142
"2","Conserved","Human Diseases","Cancer: specific types","mmu05225","Hepatocellular carcinoma","154/5719","175/9577",0.88,1.47364224514775,7.6989294034632,8.71486758654285e-17,1.50331465867864e-14,5.7334655174624e-15,"13544/12387/13649/22423/21809/12005/110157/17128/18709/27015/12571/93760/14368/19645/17127/232223/21414/21415/13197/271849/239985/12018/11651/22412/216795/23805/17295/21416/50868/21802/107986/22411/17869/74769/211666/14362/18024/20416/14369/17126/66447/14866/56456/18707/22414/20588/22422/70127/14867/14366/11461/14370/22409/13555/14367/16973/26462/50493/17873/14873/20663/66993/14872/93687/14388/18708/18752/22416/14870/68214/23882/57376/14865/21812/15461/20890/29861/14862/11465/83797/68312/19211/26395/14371/242705/11789/26417/16974/14871/26992/12006/12048/18751/22420/58988/15368/16001/14864/16842/83796/13542/77044/18803/22419/56637/12015/21813/21808/14858/14784/67155/26396/23797/20587/22059/14296/12567/20662/212398/12443/11836/20586/72057/11652/18104/225884/14859/18750/21752/103140/14863/18706/56615/13557/14869/12575/21748/26413/22417/14365/13712/18176/21803/14860/22410/56717/22421/109880/16653/22418/18710/57265/12028/234779",154
"3","Conserved","Cellular Processes","Transport and catabolism","mmu04137","Mitophagy - animal","95/5719","100/9577",0.95,1.59086378737542,7.23140922511667,3.53109790789732e-16,3.62794863426375e-14,1.38365699247283e-14,"17342/50873/67952/72825/67414/66437/16476/17532/21425/66922/66313/68943/23802/15251/269523/26420/270151/22030/59040/74143/231874/20779/26419/23806/20683/66734/84092/13001/13000/56480/53375/13555/19345/93739/271457/214952/228361/20437/19349/20130/245860/75788/56484/13665/75266/15461/22241/12176/12048/12995/52440/213948/19344/56486/641376/233204/12177/18412/57436/66169/20438/22190/68350/14479/17684/22059/19697/100756/56715/94044/13666/22187/382793/209446/72018/68653/12034/69104/17827/28185/67443/22186/53333/18176/71648/17966/11911/66687/72542/59026/56208/16653/226421/270096/170731",95
"4","Conserved","Cellular Processes","Transport and catabolism","mmu04140","Autophagy - animal","147/5719","167/9577",0.880239520958084,1.47404334537779,7.52406404305817,4.20631725711739e-16,3.62794863426375e-14,1.38365699247283e-14,"100502698/22034/16438/19324/170749/29869/16367/18607/70231/73683/72145/228545/110157/217695/18709/17532/66795/52639/66615/66922/13143/19338/105787/641340/15251/15289/26420/12421/242557/11651/69635/108079/17274/19053/73205/22320/74769/12211/27103/54170/26419/18707/78610/78943/66734/56480/218460/26409/93739/100502841/207565/56418/74370/16369/228361/54673/19349/74302/18708/67727/20130/245860/353047/97998/13665/67605/15461/13030/20869/68441/22241/19211/26395/75909/53331/11793/26417/12176/66840/12048/218035/58988/52440/16001/13033/213948/74781/56486/21353/18747/12015/68118/18518/67841/12043/19052/18749/18412/57436/18753/56790/18761/77040/22190/56716/74747/26396/23797/100504663/13039/51897/13666/22187/64930/12633/11652/16784/75669/97287/18706/13144/16783/235040/329015/269338/225326/26413/80743/67443/22186/18176/74244/19744/71648/54636/384783/17966/245670/56717/77573/71732/56208/68728/16653/226421/18710/52187",147
"5","Conserved","Cellular Processes","Transport and catabolism","mmu04144","Endocytosis","221/5719","270/9577",0.818518518518519,1.37068575832346,7.52235683938739,2.12556168870074e-15,1.46663756520351e-13,5.59358339131773e-14,"93742/14772/19341/74117/225861/22034/215632/234852/234353/12389/18595/230597/75608/13649/17999/18806/116733/70160/103967/30948/17127/74998/54198/18805/13858/232227/66313/212285/16184/14773/140500/67771/26385/72543/211673/14183/211914/80794/69178/110355/68767/19158/12390/216963/13859/194309/53869/83814/76709/13660/216869/17274/28084/22365/11841/74002/58194/12340/69780/215445/52055/19157/20779/18762/93737/216238/17126/13196/11772/12402/107568/78287/67282/18854/347722/232910/16574/84092/68524/227700/28006/78618/11771/12345/19345/271457/16835/268451/330192/20844/56440/98366/54673/14972/66713/19349/11842/67588/230837/109689/213990/208650/58220/107305/75788/19159/16396/27965/66371/18759/16004/73178/100017/21812/15461/15007/216724/19325/75767/228998/259300/13855/70432/99371/11840/319277/71955/72183/14980/14991/15015/16001/12343/66700/11773/218441/19344/667977/67804/69150/12767/22088/68942/14963/13429/19326/18719/13430/21813/98878/229285/30930/245666/74192/17246/72685/56324/208092/15043/216439/54189/22042/16573/105513/74325/73711/67300/66914/14964/320129/18571/12540/319740/14186/11843/14184/11867/67064/26431/70527/77038/106572/56378/13132/110557/20479/66251/56513/11844/69710/107338/12757/110558/106952/15481/69091/15006/215280/15040/15511/56443/20405/11845/18717/24013/223593/15039/224761/57440/15024/14985/15239/15042/15013/18720/55988/68953/68089/27681/13854/242894",221
"6","Conserved","Environmental Information Processing","Signal transduction","mmu04150","mTOR signaling pathway","137/5719","158/9577",0.867088607594937,1.45202091186164,6.97518414381789,6.71797522689165e-14,3.8628357554627e-12,1.47324018133589e-12,"64899/13544/22423/29869/16367/18607/110157/20104/18709/75705/14368/227154/17254/72149/20393/20539/27401/67046/72124/105787/20111/277854/69008/252875/268706/14783/11651/22412/216795/108079/83409/227743/71962/22411/74769/14362/16337/14369/12283/13685/54170/18707/22414/22422/109270/56430/14366/14370/20112/64898/22409/66335/14367/16973/110379/74370/68576/20663/18708/18752/22416/97998/17168/67605/26987/15461/20890/20869/68441/22241/19211/26395/14371/216742/26417/16974/16150/80909/18751/22420/58988/16001/13542/22419/14245/56637/329679/110651/71718/230784/14784/56716/74747/26396/23797/11973/108664/78757/20662/319481/64930/11964/11652/18750/13684/56032/18706/66096/66290/26413/216805/21937/22417/14365/18176/12675/19744/268933/56692/16000/245670/22410/56717/66144/22421/109880/16653/22418/18710/74915/75425/52187/67071/57265/68775/66508/72446",137
"7","Conserved","Human Diseases","Neurodegenerative disease","mmu05010","Alzheimer disease","300/5719","389/9577",0.77120822622108,1.29146025223278,7.14520427061741,1.04649699439301e-13,5.15773518665127e-12,1.9670996135207e-12,"12334/208117/26408/19056/13544/215999/12387/14682/16438/67003/227059/12977/22423/29869/16367/70316/12005/19106/110157/20422/18709/16151/18795/11487/14368/17995/72900/66445/12333/52639/67738/68197/66414/69077/17762/19057/19165/14082/22154/16956/11491/18126/226646/641340/20463/68318/19177/68202/11816/12313/12867/26420/12421/22143/68427/12370/12866/16439/11651/22412/22030/216795/23805/23821/11783/66218/12568/67089/16971/26443/18033/12289/22411/74769/14362/16337/75406/14369/66091/17992/57296/26419/18707/22414/22422/56175/19055/13063/78943/19058/14366/16574/22273/14370/66152/16594/22409/13001/66046/12371/13000/18797/595136/14367/16973/22333/68585/19170/72027/11820/226548/66416/26440/12122/12858/16369/12669/228361/12569/20168/93687/56436/12315/18708/27373/66413/22416/70247/68198/26445/69806/13665/21762/67547/67273/328133/106957/23996/407790/11785/14433/15461/26444/20890/11938/67951/28080/22335/12857/11957/22241/14102/12861/12314/26395/14371/11441/11789/26417/16974/16150/22334/12369/12006/22433/22420/12995/66997/12292/11950/26441/26446/70405/227197/66052/67151/74781/13542/22419/17463/19182/56637/16593/12015/230075/68118/84682/67680/19164/11949/30791/67130/66916/67126/11946/213053/19184/67942/22123/105675/225887/110323/19167/18125/19181/66694/19175/16573/26442/22146/26396/23797/100504663/19697/14296/51897/12288/227613/22145/18174/19185/13666/12859/19172/212398/19166/12865/11951/53857/11836/16440/11652/17993/75669/407785/67264/68375/228033/11739/68194/18706/11740/26400/22151/15925/329015/23997/66945/59029/66043/12367/225326/11947/12864/19179/26413/12862/238463/21937/18798/13198/22417/56811/19173/232943/14365/18176/12675/14814/12671/66377/12868/384783/74764/11911/72002/54405/66594/22410/56717/66925/15108/22421/14977/68342/56208/104130/109880/16653/226641/22418/17991/22272/18710/106947/57265/66108/66576/18796/73710",300
"8","Conserved","Human Diseases","Neurodegenerative disease","mmu05022","Pathways of neurodegeneration - multiple diseases","362/5719","481/9577",0.752598752598753,1.26029694940344,7.13160689206353,1.50377296961244e-13,6.48502093145364e-12,2.47331080528362e-12,"13411/18951/12334/50873/26408/19056/13544/215999/12387/14682/16438/19324/67003/68922/12977/22423/29869/70316/12005/67414/110157/20422/13385/217695/18795/108058/14368/17995/72900/66445/12333/52639/67738/68197/66414/69077/17762/19057/74018/68943/19165/67847/14082/22154/18126/226646/641340/20463/19177/13163/68202/67128/12313/12867/12018/269523/19353/14775/12323/26420/12421/22143/12370/12866/16439/22412/22030/216795/23805/11783/66218/12568/67819/67089/17274/12460/26443/18033/73205/20238/12289/22411/12325/14362/75406/14369/66091/26397/17992/57296/26419/214585/22414/22422/18391/19055/13063/67665/78943/66734/19058/110082/20655/14366/16574/22273/14370/26399/66152/16594/22409/13001/66725/66046/12371/22428/13000/54152/56480/218460/18797/73916/595136/14367/16973/22333/271457/19170/11820/66416/330355/26440/20743/12122/21938/12858/12669/269881/228361/57320/12569/26416/93687/56436/12315/69654/27373/18752/66413/22416/70247/68198/26445/68015/233908/13665/21762/67273/432611/233871/23996/407790/15461/26444/20890/11938/67951/28080/22335/56791/69926/12857/11957/12322/22241/14102/12861/12314/26395/14371/11441/56444/11789/26417/16974/22334/12369/12006/12048/18751/22433/22420/12995/66997/12292/13191/11950/26441/15194/15114/26446/140499/70405/227197/110084/66052/67151/74781/13542/641376/18803/230908/22419/20239/21353/17463/19182/68942/56637/16593/12015/230075/22195/68118/84682/67680/19164/11949/67130/12043/66916/67126/11946/19184/67942/22123/105675/18412/225887/110323/19167/18125/19181/22190/66694/19175/16573/26442/22146/26396/100504663/19697/12359/14296/51897/12288/227613/22145/19185/13666/12859/19172/22187/212398/19166/12865/11951/53857/110616/20907/18610/11836/16440/54130/381917/17993/75669/20190/18750/53623/407785/14828/67264/68375/228033/11739/68194/11740/26400/22151/329015/23997/66945/105000/59029/66043/12367/225326/11947/12864/26415/19179/26413/56491/226977/22213/103199/12862/238463/21937/18798/13198/67443/22417/22186/56811/19173/232943/75512/14365/53333/18176/215114/327954/22201/53598/14814/22223/71648/12671/66377/12868/74764/11911/54405/66594/22410/56717/66925/15108/22421/68342/52335/56208/104130/13417/109880/16653/226641/22418/56087/17991/22272/75563/170731/57265/12028/66108/66576/19132/18796/73710",362
"9","Conserved","Human Diseases","Cancer: specific types","mmu05220","Chronic myeloid leukemia","73/5719","76/9577",0.960526315789474,1.60849108695852,6.48406505615443,1.86984853408449e-13,7.16775271399055e-12,2.73369668725803e-12,"21809/110157/17128/12394/18709/27015/16151/12571/11350/19645/17127/13197/271849/12018/110279/11651/20850/18033/107986/17869/74769/20416/12402/18035/18707/13555/17873/15182/20663/20851/18708/13016/12576/23882/21812/15461/19247/26395/242705/26417/16150/12048/14013/12928/12015/21813/21808/17246/14784/26396/23797/22059/19697/12567/20662/12443/11836/12929/11652/18706/13557/12575/433759/26413/13017/14389/18176/12675/21803/109880/16653/18710/12028",73
"10","Conserved","Environmental Information Processing","Signal transduction","mmu04390","Hippo signaling pathway","136/5719","158/9577",0.860759493670886,1.44142221907433,6.81163455587786,2.92013291436285e-13,9.67238349689951e-12,3.68893344656732e-12,"93742/56274/13544/11796/12387/12234/22423/21809/12005/216033/19045/17128/13385/12162/17125/14368/17127/12385/211652/21414/21415/21678/71228/21679/16897/12156/103583/73246/14164/11797/16798/22412/241324/216795/23805/217325/21416/170770/19053/18016/319710/22411/17869/14362/19046/18762/14369/93737/17126/13383/71978/17131/22414/56289/22422/22629/12166/14366/11461/14370/22409/209456/12168/11705/97064/14367/22630/22628/68473/27373/22416/58220/22627/15902/29806/18759/20583/21812/20890/11465/11839/22631/19047/105782/21676/50523/14371/54401/11789/22601/64010/12006/22420/73699/12445/16842/13542/12695/22419/242316/56637/12167/21813/19052/21808/27494/52432/12164/51792/16475/23859/12443/14633/56217/11576/18787/12550/15901/104318/72930/269643/56513/12444/12161/22417/11799/14365/21803/93960/22410/22421/22418/21677/53310/57265/12163",136
